V_exit (V),V_ent (V),Current (A),Current_MA,Current_minus_MA
0.641,0.606,0.0,0.0,0.0
0.642,0.607,0.0,0.0,0.0
0.643,0.608,0.0,0.0,0.0
0.644,0.609,0.0,0.0,0.0
0.645,0.61,0.0,0.0,0.0
0.646,0.611,0.0,0.0,0.0
0.647,0.612,0.0,0.0,0.0
0.648,0.613,0.0,0.0,0.0
0.649,0.614,0.0,0.0,0.0
0.65,0.615,0.0,0.0,0.0
0.651,0.616,0.0,0.0,0.0
0.652,0.617,0.0,0.0,0.0
0.653,0.618,0.0,0.0,0.0
0.654,0.619,0.0,0.0,0.0
0.655,0.62,0.0,0.0,0.0
0.656,0.621,0.0,0.0,0.0
0.657,0.622,0.0,0.0,0.0
0.658,0.623,0.0,0.0,0.0
0.659,0.624,0.0,0.0,0.0
0.66,0.625,0.0,0.0,0.0
0.661,0.626,0.0,0.0,0.0
0.662,0.627,0.0,0.0,0.0
0.663,0.628,0.0,0.0,0.0
0.664,0.629,0.0,0.0,0.0
0.665,0.63,0.0,0.0,0.0
0.666,0.631,0.0,0.0,0.0
0.667,0.632,0.0,0.0,0.0
0.668,0.633,0.0,0.0,0.0
0.669,0.634,0.0,0.0,0.0
0.67,0.635,0.0,0.0,0.0
0.671,0.636,0.0,0.0,0.0
0.672,0.637,0.0,0.0,0.0
0.673,0.638,0.0,0.0,0.0
0.674,0.639,0.0,0.0,0.0
0.675,0.64,0.0,0.0,0.0
0.676,0.641,0.0,0.0,0.0
0.677,0.642,0.0,0.0,0.0
0.678,0.643,0.0,0.0,0.0
0.679,0.644,0.0,0.0,0.0
0.68,0.645,0.0,0.0,0.0
0.681,0.646,0.0,0.0,0.0
0.682,0.647,0.0,0.0,0.0
0.683,0.648,0.0,0.0,0.0
0.684,0.649,0.0,0.0,0.0
0.685,0.65,0.0,0.0,0.0
0.686,0.651,0.0,0.0,0.0
0.687,0.652,0.0,0.0,0.0
0.6880000000000001,0.653,0.0,0.0,0.0
0.6890000000000001,0.654,0.0,0.0,0.0
0.6900000000000001,0.655,0.0,0.0,0.0
0.6910000000000001,0.656,0.0,0.0,0.0
0.6920000000000001,0.657,0.0,0.0,0.0
0.6930000000000001,0.658,0.0,0.0,0.0
0.6940000000000001,0.659,0.0,0.0,0.0
0.6950000000000001,0.66,0.0,0.0,0.0
0.6960000000000001,0.661,0.0,0.0,0.0
0.6970000000000001,0.662,0.0,0.0,0.0
0.6980000000000001,0.663,0.0,0.0,0.0
0.6990000000000001,0.664,0.0,0.0,0.0
0.7000000000000001,0.665,0.0,0.0,0.0
0.7010000000000001,0.666,0.0,0.0,0.0
0.7020000000000001,0.667,0.0,0.0,0.0
0.7030000000000001,0.668,0.0,0.0,0.0
0.7040000000000001,0.669,0.0,0.0,0.0
0.7050000000000001,0.67,0.0,0.0,0.0
0.7060000000000001,0.671,0.0,0.0,0.0
0.7070000000000001,0.672,0.0,0.0,0.0
0.7080000000000001,0.673,0.0,0.0,0.0
0.7090000000000001,0.674,0.0,0.0,0.0
0.7100000000000001,0.675,0.0,0.0,0.0
0.7110000000000001,0.676,0.0,0.0,0.0
0.7120000000000001,0.677,0.0,0.0,0.0
0.7130000000000001,0.678,0.0,0.0,0.0
0.7140000000000001,0.679,0.0,0.0,0.0
0.7150000000000001,0.68,0.0,0.0,0.0
0.7160000000000001,0.681,0.0,0.0,0.0
0.7170000000000001,0.682,0.0,0.0,0.0
0.7180000000000001,0.683,0.0,0.0,0.0
0.7190000000000001,0.684,0.0,0.0,0.0
0.7200000000000001,0.685,0.0,0.0,0.0
0.721,0.686,2.825e-13,4.3e-15,2.782e-13
0.722,0.687,-1.926e-13,-6.4e-15,-1.862e-13
0.723,0.688,-7.7e-14,-1.54e-14,-6.16e-14
0.724,0.689,-3.85e-14,-6.934e-14,3.084e-14
