id,sim900_LB,sim900_RB,agilent_volt
1,0.74,0.853,-0.1017119
2,0.74,0.852,-0.10240491
3,0.74,0.851,-0.10254667
4,0.74,0.85,-0.10279924
5,0.74,0.849,-0.10234764
6,0.74,0.848,-0.10279218
7,0.74,0.847,-0.10294576
8,0.74,0.846,-0.10160327
9,0.74,0.845,-0.10247682
10,0.74,0.844,-0.10223516
11,0.74,0.843,-0.10158401
12,0.74,0.842,-0.10199632
13,0.74,0.841,-0.10222476
14,0.74,0.84,-0.10165501
15,0.74,0.839,-0.10174567
16,0.74,0.838,-0.1010845
17,0.74,0.837,-0.10025076
18,0.74,0.836,-0.10068323
19,0.74,0.835,-0.10017539
20,0.74,0.834,-0.10066834
21,0.74,0.833,-0.10001385
22,0.74,0.832,-0.10055933
23,0.74,0.831,-0.099408551
24,0.74,0.83,-0.098929462
25,0.74,0.829,-0.099425244
26,0.74,0.828,-0.099377348
27,0.74,0.827,-0.098546165
28,0.74,0.826,-0.099024484
29,0.74,0.825,-0.098525106
30,0.74,0.824,-0.098762917
31,0.74,0.823,-0.09869499
32,0.74,0.822,-0.098887858
33,0.74,0.821,-0.097912996
34,0.74,0.82,-0.097891295
35,0.74,0.819,-0.097953059
36,0.74,0.818,-0.098809915
37,0.74,0.817,-0.098780509
38,0.74,0.816,-0.098952704
39,0.74,0.815,-0.098859352
40,0.74,0.814,-0.098723625
41,0.74,0.813,-0.098634125
42,0.74,0.8119999999999999,-0.097988885
43,0.74,0.8109999999999999,-0.097434043
44,0.74,0.8099999999999999,-0.097077969
45,0.74,0.8089999999999999,-0.095523346
46,0.74,0.8079999999999999,-0.095053254
47,0.74,0.8069999999999999,-0.0939799
48,0.74,0.8059999999999999,-0.092465853
49,0.74,0.8049999999999999,-0.09214908
50,0.74,0.8039999999999999,-0.092007061
51,0.74,0.8029999999999999,-0.092247689
52,0.74,0.8019999999999999,-0.092162562
53,0.74,0.8009999999999999,-0.093059354
54,0.74,0.7999999999999999,-0.092896533
55,0.74,0.7989999999999999,-0.093766615
56,0.74,0.7979999999999999,-0.093347107
57,0.74,0.7969999999999999,-0.093119063
58,0.74,0.7959999999999999,-0.092273113
59,0.74,0.7949999999999999,-0.091490348
60,0.74,0.7939999999999999,-0.091089211
61,0.74,0.7929999999999999,-0.088658984
62,0.74,0.792,-0.088699304
63,0.74,0.7909999999999999,-0.08872704
64,0.74,0.79,-0.088663735
65,0.74,0.7889999999999999,-0.087883792
66,0.74,0.788,-0.087763731
67,0.74,0.7869999999999999,-0.086937692
68,0.74,0.786,-0.08676935
69,0.74,0.7849999999999999,-0.08705171
70,0.74,0.784,-0.086728131
71,0.74,0.7829999999999999,-0.086189204
72,0.74,0.782,-0.086390804
73,0.74,0.7809999999999999,-0.085151421
74,0.74,0.78,-0.083591024
75,0.74,0.779,-0.082577253
76,0.74,0.778,-0.081570927
77,0.74,0.777,-0.081024295
78,0.74,0.776,-0.080454944
79,0.74,0.775,-0.079893802
80,0.74,0.774,-0.080828602
81,0.74,0.773,-0.080604282
82,0.74,0.772,-0.081480656
83,0.74,0.771,-0.081687007
84,0.74,0.77,-0.081714872
85,0.74,0.769,-0.080102465
86,0.74,0.768,-0.079772586
87,0.74,0.767,-0.077053313
88,0.74,0.766,-0.074749435
